,company_link,company_name
143,https://www.moneycontrol.com/india/stockpricequote/fertilisers/adarshchemicalsfertilisers/ACF,adarshchemicalsfertilisers
144,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/adarshmercantile/AM12,adarshmercantile
145,https://www.moneycontrol.com/india/stockpricequote/adarshplant/adarshplantationprojects/APP01,adarshplantationprojects
146,https://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/adcindiacommunications/KC07,adcindiacommunications
147,https://www.moneycontrol.com/india/stockpricequote/adconcapital/adconcapitalservices/ACS06,adconcapitalservices
148,https://www.moneycontrol.com/india/stockpricequote/financeinvestment/adconcapitalservicesre/ACS02,adconcapitalservicesre
149,https://www.moneycontrol.com/india/stockpricequote/financeinvestment/adconcapitalservicespp/ACS07,adconcapitalservicespp
150,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/addlifepharma/ALP,addlifepharma
151,https://www.moneycontrol.com/india/stockpricequote/addshoppromot/addshoppromotions/AP12,addshoppromotions
152,https://www.moneycontrol.com/india/stockpricequote/textileshosieryknitwear/addiindustries/AI05,addiindustries
153,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/adelvisi/AV01,adelvisi
154,https://www.moneycontrol.com/india/stockpricequote/medicalequipmentsuppliesaccessories/adeshwarmeditex/AM10,adeshwarmeditex
155,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/adffoodsindustries/AF30,adffoodsindustries
156,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/adharshilacapitalservices/ACS05,adharshilacapitalservices
157,https://www.moneycontrol.com/india/stockpricequote/adhbhutinfra/adhbhutinfrastructure/AI71,adhbhutinfrastructure
158,https://www.moneycontrol.com/india/stockpricequote/adhirajdistrib/adhirajdistributorsltd/ADL01,adhirajdistributorsltd
159,https://www.moneycontrol.com/india/stockpricequote/steelspongeiron/adhunikmetaliks/AM9,adhunikmetaliks
160,https://www.moneycontrol.com/india/stockpricequote/textilesweaving/adhuniksynthetics/AS,adhuniksynthetics
161,https://www.moneycontrol.com/india/stockpricequote/textilesprocessing/adhunikyarns/AY,adhunikyarns
162,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/adinathbiolabs/ABL02,adinathbiolabs
163,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/adinatheximresources/AER,adinatheximresources
164,https://www.moneycontrol.com/india/stockpricequote/textilesspinningsyntheticblended/adinathtextiles/AT02,adinathtextiles
165,https://www.moneycontrol.com/india/stockpricequote/ironsteel/adishaktilohaispat/ALI05,adishaktilohaispat
166,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/adithyaalkaloids/AAL,adithyaalkaloids
167,https://www.moneycontrol.com/india/stockpricequote/aquaculture/adithyaaquaculture/AAC03,adithyaaquaculture
168,https://www.moneycontrol.com/india/stockpricequote/textilesreadymadeapparels/aditriindustries/AC02,aditriindustries
169,https://www.moneycontrol.com/india/stockpricequote/chemicals/adityabirlachemicals/ABC08,adityabirlachemicals
170,https://www.moneycontrol.com/india/stockpricequote/retail/adityabirlafashionretail/PFR,adityabirlafashionretail
171,https://www.moneycontrol.com/india/stockpricequote/retail/adityaconsumermarketing/ACM01,adityaconsumermarketing
172,https://www.moneycontrol.com/india/stockpricequote/electricals/adityaelectrocommunications/AEC02,adityaelectrocommunications
173,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/adityaexports/AEL01,adityaexports
174,https://www.moneycontrol.com/india/stockpricequote/castingsforgings/adityaforge/AF,adityaforge
175,https://www.moneycontrol.com/india/stockpricequote/trading/adityainternational/AI37,adityainternational
176,https://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/adityaispat/AI06,adityaispat
177,https://www.moneycontrol.com/india/stockpricequote/chemicals/adityalimeindustries/ALI01,adityalimeindustries
178,https://www.moneycontrol.com/india/stockpricequote/diversified/adityamills/AML01,adityamills
179,https://www.moneycontrol.com/india/stockpricequote/packaging/adityapolymers/APL02,adityapolymers
180,https://www.moneycontrol.com/india/stockpricequote/textilesspinningsyntheticblended/adityaspinners/AS01,adityaspinners
181,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/adityavision/AV,adityavision
182,https://www.moneycontrol.com/india/stockpricequote/software/adjiatechnologies/AT24,adjiatechnologies
183,https://www.moneycontrol.com/india/stockpricequote/adlinechemlab/adlinechemlab/KL,adlinechemlab
184,https://www.moneycontrol.com/india/stockpricequote/adncadpinc/akcbabc/MM05,akcbabc
185,https://www.moneycontrol.com/india/stockpricequote/electrodesgraphite/adorfontech/AF22,adorfontech
186,https://www.moneycontrol.com/india/stockpricequote/personalcare/adormultiproducts/AM01,adormultiproducts
187,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/adorpowertron/AP25,adorpowertron
188,https://www.moneycontrol.com/india/stockpricequote/packaging/adortechnopak/AT11,adortechnopak
189,https://www.moneycontrol.com/india/stockpricequote/electrodesgraphite/adorwelding/AW01,adorwelding
190,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/adroitinfotech/CC22,adroitinfotech
191,https://www.moneycontrol.com/india/stockpricequote/hospitalsmedicalservices/adsdiagnostic/ADS,adsdiagnostic
192,https://www.moneycontrol.com/india/stockpricequote/constructioninfrastructure/advaitinfratechlimited/AIL05,advaitinfratechlimited
193,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/advancebiocoalindia/ABC04,advancebiocoalindia
194,https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/advancelifestyles/AAM,advancelifestyles
195,https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/advancemeteringtechnology/AMT,advancemeteringtechnology
196,https://www.moneycontrol.com/india/stockpricequote/rubber/advancemultitech/AM02,advancemultitech
197,https://www.moneycontrol.com/india/stockpricequote/detergents/advancepetrochemicals/AP02,advancepetrochemicals
198,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/advancepowerinfratech/MF05,advancepowerinfratech
199,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/advancesyntex/AS08,advancesyntex
200,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/advancedenzymetechnologies/AET,advancedenzymetechnologies
201,https://www.moneycontrol.com/india/stockpricequote/hospitalsmedicalservices/advancedmicronicdevices/AMD,advancedmicronicdevices
202,https://www.moneycontrol.com/india/stockpricequote/hotels/advanihotelsresortsindia/AHR,advanihotelsresortsindia
203,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/advanta/AI39,advanta
204,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/adventcomputerservices/ACS01,adventcomputerservices
205,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/advikcapital/AIL04,advikcapital
206,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/adviklaboratories/AL07,adviklaboratories
